Name;Miles per gallon;Cylinders;Engine displacement;Horsepower;Vehicle weight;Acceleration;Model year;Origin;
chevrolet chevette;29,0000;4,0000;85,0000;52,0000;2035,0000;22,2000;76,0000;1,0000;
chevrolet woody;24,5000;4,0000;98,0000;60,0000;2164,0000;22,1000;76,0000;1,0000;
vw rabbit;29,0000;4,0000;90,0000;70,0000;1937,0000;14,2000;76,0000;2,0000;
honda civic;33,0000;4,0000;91,0000;53,0000;1795,0000;17,4000;76,0000;3,0000;
dodge aspen se;20,0000;6,0000;225,0000;100,0000;3651,0000;17,7000;76,0000;1,0000;
ford granada ghia;18,0000;6,0000;250,0000;78,0000;3574,0000;21,0000;76,0000;1,0000;
pontiac ventura sj;18,5000;6,0000;250,0000;110,0000;3645,0000;16,2000;76,0000;1,0000;
amc pacer d/l;17,5000;6,0000;258,0000;95,0000;3193,0000;17,8000;76,0000;1,0000;
volkswagen rabbit;29,5000;4,0000;97,0000;71,0000;1825,0000;12,2000;76,0000;2,0000;
datsun b-210;32,0000;4,0000;85,0000;70,0000;1990,0000;17,0000;76,0000;3,0000;
toyota corolla;28,0000;4,0000;97,0000;75,0000;2155,0000;16,4000;76,0000;3,0000;
ford pinto;26,5000;4,0000;140,0000;72,0000;2565,0000;13,6000;76,0000;1,0000;
volvo 245;20,0000;4,0000;130,0000;102,0000;3150,0000;15,7000;76,0000;2,0000;
plymouth volare premier v8;13,0000;8,0000;318,0000;150,0000;3940,0000;13,2000;76,0000;1,0000;
peugeot 504;19,0000;4,0000;120,0000;88,0000;3270,0000;21,9000;76,0000;2,0000;
toyota mark ii;19,0000;6,0000;156,0000;108,0000;2930,0000;15,5000;76,0000;3,0000;
mercedes-benz 280s;16,5000;6,0000;168,0000;120,0000;3820,0000;16,7000;76,0000;2,0000;
cadillac seville;16,5000;8,0000;350,0000;180,0000;4380,0000;12,1000;76,0000;1,0000;
chevy c10;13,0000;8,0000;350,0000;145,0000;4055,0000;12,0000;76,0000;1,0000;
ford f108;13,0000;8,0000;302,0000;130,0000;3870,0000;15,0000;76,0000;1,0000;
dodge d100;13,0000;8,0000;318,0000;150,0000;3755,0000;14,0000;76,0000;1,0000;
honda accord cvcc;31,5000;4,0000;98,0000;68,0000;2045,0000;18,5000;77,0000;3,0000;
buick opel isuzu deluxe;30,0000;4,0000;111,0000;80,0000;2155,0000;14,8000;77,0000;1,0000;
renault 5 gtl;36,0000;4,0000;79,0000;58,0000;1825,0000;18,6000;77,0000;2,0000;
plymouth arrow gs;25,5000;4,0000;122,0000;96,0000;2300,0000;15,5000;77,0000;1,0000;
datsun f-10 hatchback;33,5000;4,0000;85,0000;70,0000;1945,0000;16,8000;77,0000;3,0000;
chevrolet caprice classic;17,5000;8,0000;305,0000;145,0000;3880,0000;12,5000;77,0000;1,0000;
oldsmobile cutlass supreme;17,0000;8,0000;260,0000;110,0000;4060,0000;19,0000;77,0000;1,0000;
dodge monaco brougham;15,5000;8,0000;318,0000;145,0000;4140,0000;13,7000;77,0000;1,0000;
mercury cougar brougham;15,0000;8,0000;302,0000;130,0000;4295,0000;14,9000;77,0000;1,0000;
chevrolet concours;17,5000;6,0000;250,0000;110,0000;3520,0000;16,4000;77,0000;1,0000;
buick skylark;20,5000;6,0000;231,0000;105,0000;3425,0000;16,9000;77,0000;1,0000;
plymouth volare custom;19,0000;6,0000;225,0000;100,0000;3630,0000;17,7000;77,0000;1,0000;
ford granada;18,5000;6,0000;250,0000;98,0000;3525,0000;19,0000;77,0000;1,0000;
pontiac grand prix lj;16,0000;8,0000;400,0000;180,0000;4220,0000;11,1000;77,0000;1,0000;
chevrolet monte carlo landau;15,5000;8,0000;350,0000;170,0000;4165,0000;11,4000;77,0000;1,0000;
chrysler cordoba;15,5000;8,0000;400,0000;190,0000;4325,0000;12,2000;77,0000;1,0000;
ford thunderbird;16,0000;8,0000;351,0000;149,0000;4335,0000;14,5000;77,0000;1,0000;
volkswagen rabbit custom;29,0000;4,0000;97,0000;78,0000;1940,0000;14,5000;77,0000;2,0000;
pontiac sunbird coupe;24,5000;4,0000;151,0000;88,0000;2740,0000;16,0000;77,0000;1,0000;
toyota corolla liftback;26,0000;4,0000;97,0000;75,0000;2265,0000;18,2000;77,0000;3,0000;
ford mustang ii 2+2;25,5000;4,0000;140,0000;89,0000;2755,0000;15,8000;77,0000;1,0000;
chevrolet chevette;30,5000;4,0000;98,0000;63,0000;2051,0000;17,0000;77,0000;1,0000;
dodge colt m/m;33,5000;4,0000;98,0000;83,0000;2075,0000;15,9000;77,0000;1,0000;
subaru dl;30,0000;4,0000;97,0000;67,0000;1985,0000;16,4000;77,0000;3,0000;
volkswagen dasher;30,5000;4,0000;97,0000;78,0000;2190,0000;14,1000;77,0000;2,0000;
datsun 810;22,0000;6,0000;146,0000;97,0000;2815,0000;14,5000;77,0000;3,0000;
bmw 320i;21,5000;4,0000;121,0000;110,0000;2600,0000;12,8000;77,0000;2,0000;
mazda rx-4;21,5000;3,0000;80,0000;110,0000;2720,0000;13,5000;77,0000;3,0000;
volkswagen rabbit custom diesel;43,1000;4,0000;90,0000;48,0000;1985,0000;21,5000;78,0000;2,0000;
ford fiesta;36,1000;4,0000;98,0000;66,0000;1800,0000;14,4000;78,0000;1,0000;
mazda glc deluxe;32,8000;4,0000;78,0000;52,0000;1985,0000;19,4000;78,0000;3,0000;
datsun b210 gx;39,4000;4,0000;85,0000;70,0000;2070,0000;18,6000;78,0000;3,0000;
honda civic cvcc;36,1000;4,0000;91,0000;60,0000;1800,0000;16,4000;78,0000;3,0000;
oldsmobile cutlass salon brougham;19,9000;8,0000;260,0000;110,0000;3365,0000;15,5000;78,0000;1,0000;
dodge diplomat;19,4000;8,0000;318,0000;140,0000;3735,0000;13,2000;78,0000;1,0000;
mercury monarch ghia;20,2000;8,0000;302,0000;139,0000;3570,0000;12,8000;78,0000;1,0000;
pontiac phoenix lj;19,2000;6,0000;231,0000;105,0000;3535,0000;19,2000;78,0000;1,0000;
chevrolet malibu;20,5000;6,0000;200,0000;95,0000;3155,0000;18,2000;78,0000;1,0000;
ford fairmont (auto);20,2000;6,0000;200,0000;85,0000;2965,0000;15,8000;78,0000;1,0000;
ford fairmont (man);25,1000;4,0000;140,0000;88,0000;2720,0000;15,4000;78,0000;1,0000;
plymouth volare;20,5000;6,0000;225,0000;100,0000;3430,0000;17,2000;78,0000;1,0000;
amc concord;19,4000;6,0000;232,0000;90,0000;3210,0000;17,2000;78,0000;1,0000;
buick century special;20,6000;6,0000;231,0000;105,0000;3380,0000;15,8000;78,0000;1,0000;
mercury zephyr;20,8000;6,0000;200,0000;85,0000;3070,0000;16,7000;78,0000;1,0000;
dodge aspen;18,6000;6,0000;225,0000;110,0000;3620,0000;18,7000;78,0000;1,0000;
amc concord d/l;18,1000;6,0000;258,0000;120,0000;3410,0000;15,1000;78,0000;1,0000;
chevrolet monte carlo landau;19,2000;8,0000;305,0000;145,0000;3425,0000;13,2000;78,0000;1,0000;
buick regal sport coupe (turbo);17,7000;6,0000;231,0000;165,0000;3445,0000;13,4000;78,0000;1,0000;
ford futura;18,1000;8,0000;302,0000;139,0000;3205,0000;11,2000;78,0000;1,0000;
dodge magnum xe;17,5000;8,0000;318,0000;140,0000;4080,0000;13,7000;78,0000;1,0000;
chevrolet chevette;30,0000;4,0000;98,0000;68,0000;2155,0000;16,5000;78,0000;1,0000;
toyota corona;27,5000;4,0000;134,0000;95,0000;2560,0000;14,2000;78,0000;3,0000;
datsun 510;27,2000;4,0000;119,0000;97,0000;2300,0000;14,7000;78,0000;3,0000;
dodge omni;30,9000;4,0000;105,0000;75,0000;2230,0000;14,5000;78,0000;1,0000;
toyota celica gt liftback;21,1000;4,0000;134,0000;95,0000;2515,0000;14,8000;78,0000;3,0000;
plymouth sapporo;23,2000;4,0000;156,0000;105,0000;2745,0000;16,7000;78,0000;1,0000;
oldsmobile starfire sx;23,8000;4,0000;151,0000;85,0000;2855,0000;17,6000;78,0000;1,0000;
datsun 200-sx;23,9000;4,0000;119,0000;97,0000;2405,0000;14,9000;78,0000;3,0000;
audi 5000;20,3000;5,0000;131,0000;103,0000;2830,0000;15,9000;78,0000;2,0000;
volvo 264gl;17,0000;6,0000;163,0000;125,0000;3140,0000;13,6000;78,0000;2,0000;
saab 99gle;21,6000;4,0000;121,0000;115,0000;2795,0000;15,7000;78,0000;2,0000;
peugeot 604sl;16,2000;6,0000;163,0000;133,0000;3410,0000;15,8000;78,0000;2,0000;
volkswagen scirocco;31,5000;4,0000;89,0000;71,0000;1990,0000;14,9000;78,0000;2,0000;
honda accord lx;29,5000;4,0000;98,0000;68,0000;2135,0000;16,6000;78,0000;3,0000;
pontiac lemans v6;21,5000;6,0000;231,0000;115,0000;3245,0000;15,4000;79,0000;1,0000;
mercury zephyr 6;19,8000;6,0000;200,0000;85,0000;2990,0000;18,2000;79,0000;1,0000;
ford fairmont 4;22,3000;4,0000;140,0000;88,0000;2890,0000;17,3000;79,0000;1,0000;
amc concord dl 6;20,2000;6,0000;232,0000;90,0000;3265,0000;18,2000;79,0000;1,0000;
dodge aspen 6;20,6000;6,0000;225,0000;110,0000;3360,0000;16,6000;79,0000;1,0000;
chevrolet caprice classic;17,0000;8,0000;305,0000;130,0000;3840,0000;15,4000;79,0000;1,0000;
ford ltd landau;17,6000;8,0000;302,0000;129,0000;3725,0000;13,4000;79,0000;1,0000;
mercury grand marquis;16,5000;8,0000;351,0000;138,0000;3955,0000;13,2000;79,0000;1,0000;
dodge st. regis;18,2000;8,0000;318,0000;135,0000;3830,0000;15,2000;79,0000;1,0000;
buick estate wagon (sw);16,9000;8,0000;350,0000;155,0000;4360,0000;14,9000;79,0000;1,0000;
ford country squire (sw);15,5000;8,0000;351,0000;142,0000;4054,0000;14,3000;79,0000;1,0000;
chevrolet malibu classic (sw);19,2000;8,0000;267,0000;125,0000;3605,0000;15,0000;79,0000;1,0000;
chrysler lebaron town @ country (sw);18,5000;8,0000;360,0000;150,0000;3940,0000;13,0000;79,0000;1,0000;
vw rabbit custom;31,9000;4,0000;89,0000;71,0000;1925,0000;14,0000;79,0000;2,0000;
maxda glc deluxe;34,1000;4,0000;86,0000;65,0000;1975,0000;15,2000;79,0000;3,0000;
dodge colt hatchback custom;35,7000;4,0000;98,0000;80,0000;1915,0000;14,4000;79,0000;1,0000;
amc spirit dl;27,4000;4,0000;121,0000;80,0000;2670,0000;15,0000;79,0000;1,0000;
mercedes benz 300d;25,4000;5,0000;183,0000;77,0000;3530,0000;20,1000;79,0000;2,0000;
cadillac eldorado;23,0000;8,0000;350,0000;125,0000;3900,0000;17,4000;79,0000;1,0000;
peugeot 504;27,2000;4,0000;141,0000;71,0000;3190,0000;24,8000;79,0000;2,0000;
oldsmobile cutlass salon brougham;23,9000;8,0000;260,0000;90,0000;3420,0000;22,2000;79,0000;1,0000;
plymouth horizon;34,2000;4,0000;105,0000;70,0000;2200,0000;13,2000;79,0000;1,0000;
plymouth horizon tc3;34,5000;4,0000;105,0000;70,0000;2150,0000;14,9000;79,0000;1,0000;
datsun 210;31,8000;4,0000;85,0000;65,0000;2020,0000;19,2000;79,0000;3,0000;
fiat strada custom;37,3000;4,0000;91,0000;69,0000;2130,0000;14,7000;79,0000;2,0000;
buick skylark limited;28,4000;4,0000;151,0000;90,0000;2670,0000;16,0000;79,0000;1,0000;
chevrolet citation;28,8000;6,0000;173,0000;115,0000;2595,0000;11,3000;79,0000;1,0000;
oldsmobile omega brougham;26,8000;6,0000;173,0000;115,0000;2700,0000;12,9000;79,0000;1,0000;
pontiac phoenix;33,5000;4,0000;151,0000;90,0000;2556,0000;13,2000;79,0000;1,0000;
vw rabbit;41,5000;4,0000;98,0000;76,0000;2144,0000;14,7000;80,0000;2,0000;
toyota corolla tercel;38,1000;4,0000;89,0000;60,0000;1968,0000;18,8000;80,0000;3,0000;
chevrolet chevette;32,1000;4,0000;98,0000;70,0000;2120,0000;15,5000;80,0000;1,0000;
datsun 310;37,2000;4,0000;86,0000;65,0000;2019,0000;16,4000;80,0000;3,0000;
chevrolet citation;28,0000;4,0000;151,0000;90,0000;2678,0000;16,5000;80,0000;1,0000;
ford fairmont;26,4000;4,0000;140,0000;88,0000;2870,0000;18,1000;80,0000;1,0000;
amc concord;24,3000;4,0000;151,0000;90,0000;3003,0000;20,1000;80,0000;1,0000;
dodge aspen;19,1000;6,0000;225,0000;90,0000;3381,0000;18,7000;80,0000;1,0000;
audi 4000;34,3000;4,0000;97,0000;78,0000;2188,0000;15,8000;80,0000;2,0000;
toyota corona liftback;29,8000;4,0000;134,0000;90,0000;2711,0000;15,5000;80,0000;3,0000;
mazda 626;31,3000;4,0000;120,0000;75,0000;2542,0000;17,5000;80,0000;3,0000;
datsun 510 hatchback;37,0000;4,0000;119,0000;92,0000;2434,0000;15,0000;80,0000;3,0000;
toyota corolla;32,2000;4,0000;108,0000;75,0000;2265,0000;15,2000;80,0000;3,0000;
mazda glc;46,6000;4,0000;86,0000;65,0000;2110,0000;17,9000;80,0000;3,0000;
dodge colt;27,9000;4,0000;156,0000;105,0000;2800,0000;14,4000;80,0000;1,0000;
datsun 210;40,8000;4,0000;85,0000;65,0000;2110,0000;19,2000;80,0000;3,0000;
vw rabbit c (diesel);44,3000;4,0000;90,0000;48,0000;2085,0000;21,7000;80,0000;2,0000;
vw dasher (diesel);43,4000;4,0000;90,0000;48,0000;2335,0000;23,7000;80,0000;2,0000;
audi 5000s (diesel);36,4000;5,0000;121,0000;67,0000;2950,0000;19,9000;80,0000;2,0000;
mercedes-benz 240d;30,0000;4,0000;146,0000;67,0000;3250,0000;21,8000;80,0000;2,0000;
honda civic 1500 gl;44,6000;4,0000;91,0000;67,0000;1850,0000;13,8000;80,0000;3,0000;
renault lecar deluxe;40,9000;4,0000;85,0000;;1835,0000;17,3000;80,0000;2,0000;
subaru dl;33,8000;4,0000;97,0000;67,0000;2145,0000;18,0000;80,0000;3,0000;
vokswagen rabbit;29,8000;4,0000;89,0000;62,0000;1845,0000;15,3000;80,0000;2,0000;
datsun 280-zx;32,7000;6,0000;168,0000;132,0000;2910,0000;11,4000;80,0000;3,0000;
mazda rx-7 gs;23,7000;3,0000;70,0000;100,0000;2420,0000;12,5000;80,0000;3,0000;
triumph tr7 coupe;35,0000;4,0000;122,0000;88,0000;2500,0000;15,1000;80,0000;2,0000;
ford mustang cobra;23,6000;4,0000;140,0000;;2905,0000;14,3000;80,0000;1,0000;
honda accord;32,4000;4,0000;107,0000;72,0000;2290,0000;17,0000;80,0000;3,0000;
plymouth reliant;27,2000;4,0000;135,0000;84,0000;2490,0000;15,7000;81,0000;1,0000;
buick skylark;26,6000;4,0000;151,0000;84,0000;2635,0000;16,4000;81,0000;1,0000;
dodge aries wagon (sw);25,8000;4,0000;156,0000;92,0000;2620,0000;14,4000;81,0000;1,0000;
chevrolet citation;23,5000;6,0000;173,0000;110,0000;2725,0000;12,6000;81,0000;1,0000;
plymouth reliant;30,0000;4,0000;135,0000;84,0000;2385,0000;12,9000;81,0000;1,0000;
toyota starlet;39,1000;4,0000;79,0000;58,0000;1755,0000;16,9000;81,0000;3,0000;
plymouth champ;39,0000;4,0000;86,0000;64,0000;1875,0000;16,4000;81,0000;1,0000;
honda civic 1300;35,1000;4,0000;81,0000;60,0000;1760,0000;16,1000;81,0000;3,0000;
subaru;32,3000;4,0000;97,0000;67,0000;2065,0000;17,8000;81,0000;3,0000;
datsun 210 mpg;37,0000;4,0000;85,0000;65,0000;1975,0000;19,4000;81,0000;3,0000;
toyota tercel;37,7000;4,0000;89,0000;62,0000;2050,0000;17,3000;81,0000;3,0000;
mazda glc 4;34,1000;4,0000;91,0000;68,0000;1985,0000;16,0000;81,0000;3,0000;
plymouth horizon 4;34,7000;4,0000;105,0000;63,0000;2215,0000;14,9000;81,0000;1,0000;
ford escort 4w;34,4000;4,0000;98,0000;65,0000;2045,0000;16,2000;81,0000;1,0000;
ford escort 2h;29,9000;4,0000;98,0000;65,0000;2380,0000;20,7000;81,0000;1,0000;
volkswagen jetta;33,0000;4,0000;105,0000;74,0000;2190,0000;14,2000;81,0000;2,0000;
renault 18i;34,5000;4,0000;100,0000;;2320,0000;15,8000;81,0000;2,0000;
honda prelude;33,7000;4,0000;107,0000;75,0000;2210,0000;14,4000;81,0000;3,0000;
toyota corolla;32,4000;4,0000;108,0000;75,0000;2350,0000;16,8000;81,0000;3,0000;
datsun 200sx;32,9000;4,0000;119,0000;100,0000;2615,0000;14,8000;81,0000;3,0000;
mazda 626;31,6000;4,0000;120,0000;74,0000;2635,0000;18,3000;81,0000;3,0000;
peugeot 505s turbo diesel;28,1000;4,0000;141,0000;80,0000;3230,0000;20,4000;81,0000;2,0000;
saab 900s;;4,0000;121,0000;110,0000;2800,0000;15,4000;81,0000;2,0000;
volvo diesel;30,7000;6,0000;145,0000;76,0000;3160,0000;19,6000;81,0000;2,0000;
toyota cressida;25,4000;6,0000;168,0000;116,0000;2900,0000;12,6000;81,0000;3,0000;
datsun 810 maxima;24,2000;6,0000;146,0000;120,0000;2930,0000;13,8000;81,0000;3,0000;
buick century;22,4000;6,0000;231,0000;110,0000;3415,0000;15,8000;81,0000;1,0000;
oldsmobile cutlass ls;26,6000;8,0000;350,0000;105,0000;3725,0000;19,0000;81,0000;1,0000;
ford granada gl;20,2000;6,0000;200,0000;88,0000;3060,0000;17,1000;81,0000;1,0000;
chrysler lebaron salon;17,6000;6,0000;225,0000;85,0000;3465,0000;16,6000;81,0000;1,0000;
chevrolet cavalier;28,0000;4,0000;112,0000;88,0000;2605,0000;19,6000;82,0000;1,0000;
chevrolet cavalier wagon;27,0000;4,0000;112,0000;88,0000;2640,0000;18,6000;82,0000;1,0000;
chevrolet cavalier 2-door;34,0000;4,0000;112,0000;88,0000;2395,0000;18,0000;82,0000;1,0000;
pontiac j2000 se hatchback;31,0000;4,0000;112,0000;85,0000;2575,0000;16,2000;82,0000;1,0000;
dodge aries se;29,0000;4,0000;135,0000;84,0000;2525,0000;16,0000;82,0000;1,0000;
pontiac phoenix;27,0000;4,0000;151,0000;90,0000;2735,0000;18,0000;82,0000;1,0000;
ford fairmont futura;24,0000;4,0000;140,0000;92,0000;2865,0000;16,4000;82,0000;1,0000;
amc concord dl;23,0000;4,0000;151,0000;;3035,0000;20,5000;82,0000;1,0000;
volkswagen rabbit l;36,0000;4,0000;105,0000;74,0000;1980,0000;15,3000;82,0000;2,0000;
mazda glc custom l;37,0000;4,0000;91,0000;68,0000;2025,0000;18,2000;82,0000;3,0000;
mazda glc custom;31,0000;4,0000;91,0000;68,0000;1970,0000;17,6000;82,0000;3,0000;
plymouth horizon miser;38,0000;4,0000;105,0000;63,0000;2125,0000;14,7000;82,0000;1,0000;
mercury lynx l;36,0000;4,0000;98,0000;70,0000;2125,0000;17,3000;82,0000;1,0000;
nissan stanza xe;36,0000;4,0000;120,0000;88,0000;2160,0000;14,5000;82,0000;3,0000;
honda accord;36,0000;4,0000;107,0000;75,0000;2205,0000;14,5000;82,0000;3,0000;
toyota corolla;34,0000;4,0000;108,0000;70,0000;2245,0000;16,9000;82,0000;3,0000;
honda civic;38,0000;4,0000;91,0000;67,0000;1965,0000;15,0000;82,0000;3,0000;
honda civic (auto);32,0000;4,0000;91,0000;67,0000;1965,0000;15,7000;82,0000;3,0000;
datsun 310 gx;38,0000;4,0000;91,0000;67,0000;1995,0000;16,2000;82,0000;3,0000;
buick century limited;25,0000;6,0000;181,0000;110,0000;2945,0000;16,4000;82,0000;1,0000;
oldsmobile cutlass ciera (diesel);38,0000;6,0000;262,0000;85,0000;3015,0000;17,0000;82,0000;1,0000;
chrysler lebaron medallion;26,0000;4,0000;156,0000;92,0000;2585,0000;14,5000;82,0000;1,0000;
ford granada l;22,0000;6,0000;232,0000;112,0000;2835,0000;14,7000;82,0000;1,0000;
toyota celica gt;32,0000;4,0000;144,0000;96,0000;2665,0000;13,9000;82,0000;3,0000;
dodge charger 2.2;36,0000;4,0000;135,0000;84,0000;2370,0000;13,0000;82,0000;1,0000;
chevrolet camaro;27,0000;4,0000;151,0000;90,0000;2950,0000;17,3000;82,0000;1,0000;
ford mustang gl;27,0000;4,0000;140,0000;86,0000;2790,0000;15,6000;82,0000;1,0000;
vw pickup;44,0000;4,0000;97,0000;52,0000;2130,0000;24,6000;82,0000;2,0000;
dodge rampage;32,0000;4,0000;135,0000;84,0000;2295,0000;11,6000;82,0000;1,0000;
ford ranger;28,0000;4,0000;120,0000;79,0000;2625,0000;18,6000;82,0000;1,0000;
chevy s-10;31,0000;4,0000;119,0000;82,0000;2720,0000;19,4000;82,0000;1,0000;
